id_producto;nombre;categoria;subcategoria;marca;precio_lista;costo
53;Magnesio Quelado;Suplementos y Vitaminas;Multivitamínicos;FarmaVida;86.38;44.75
54;Aceite Corporal para Bebé;Cuidado del Bebé;Fórmulas Infantiles;DermaPro;59.09;41.27
55;Tiras Reactivas de Glucosa;Equipos Médicos;Glucómetros;BioSana;180.25;101.93
56;Mascarillas Quirúrgicas x50;Insumos Médicos;Mascarillas;FarmaVida;29.06;18.27
57;Atorvastatina 20mg;Medicamentos;Antialérgicos;FarmaVida;23.89;11.39
58;Jabón Líquido Avena;Cuidado Personal;Higiene Femenina;MediFarma;23.53;12.88
59;Loción Corporal Hidratante;Dermocosmética;Cuidado Facial;PharmaPlus;43.06;17.57
60;Omega 3 1000mg;Suplementos y Vitaminas;Multivitamínicos;PharmaPlus;87.02;49.57
61;Shampoo para Bebé;Cuidado del Bebé;Pañales;MediFarma;52.42;28.95
62;Glucómetro Digital;Equipos Médicos;Termómetros;NovaSalud;208.76;98.0
63;Mascarillas Quirúrgicas x50;Insumos Médicos;Gasas y Vendas;VitalCare;35.57;16.92
64;Enalapril 10mg;Medicamentos;Antialérgicos;VitalCare;35.62;14.46
65;Enjuague Bucal Menta;Cuidado Personal;Desodorantes;SaludTotal Labs;13.67;7.58
66;Contorno de Ojos;Dermocosmética;Cuidado Facial;CardioSalud;122.66;60.25
67;Magnesio Quelado;Suplementos y Vitaminas;Proteínas y Aminoácidos;BioSana;62.28;25.1
68;Crema Antipañalitis;Cuidado del Bebé;Toallitas Húmedas;Genérico;30.74;18.54
69;Termómetro Digital;Equipos Médicos;Glucómetros;DermaPro;251.82;149.12
70;Guantes de Látex x100;Insumos Médicos;Mascarillas;SaludTotal Labs;17.95;11.19
71;Metformina 850mg;Medicamentos;Antialérgicos;DermaPro;38.79;24.89
72;Talco Corporal;Cuidado Personal;Desodorantes;NovaSalud;16.17;9.5
73;Loción Corporal Hidratante;Dermocosmética;Cuidado Facial;PharmaPlus;52.74;34.46
74;Colágeno Hidrolizado;Suplementos y Vitaminas;Vitamina C;CardioSalud;83.13;51.95
75;Shampoo para Bebé;Cuidado del Bebé;Toallitas Húmedas;PharmaPlus;49.36;29.71
76;Pulsioxímetro Digital;Equipos Médicos;Glucómetros;VitalCare;170.9;76.46
77;Alcohol Medicinal 70° 250ml;Insumos Médicos;Gasas y Vendas;NovaSalud;26.22;12.64
78;Salbutamol Inhalador;Medicamentos;Antialérgicos;CardioSalud;21.41;9.88
79;Gel de Ducha Aloe Vera;Cuidado Personal;Higiene Femenina;CardioSalud;6.82;4.72
80;Loción Corporal Hidratante;Dermocosmética;Protección Solar;DermaPro;94.18;64.28
81;Multivitamínico Adultos;Suplementos y Vitaminas;Vitamina C;BioSana;30.38;20.41
82;Aceite Corporal para Bebé;Cuidado del Bebé;Pañales;VitalCare;57.15;31.15
83;Pulsioxímetro Digital;Equipos Médicos;Glucómetros;PharmaPlus;260.91;178.9
84;Esparadrapo Hipoalergénico;Insumos Médicos;Guantes;NovaSalud;30.8;21.43
85;Omeprazol 20mg;Medicamentos;Antiinflamatorios;MediFarma;20.75;8.43
86;Talco Corporal;Cuidado Personal;Higiene Corporal;CardioSalud;31.48;14.42
87;Protector Solar SPF50;Dermocosmética;Antiedad;VitalCare;60.83;31.34
88;Complejo B;Suplementos y Vitaminas;Multivitamínicos;BioSana;32.18;22.38
89;Pañales Talla G x26;Cuidado del Bebé;Fórmulas Infantiles;MediFarma;49.53;24.51
90;Tensiómetro Digital de Brazo;Equipos Médicos;Glucómetros;MediFarma;306.18;155.87
91;Esparadrapo Hipoalergénico;Insumos Médicos;Gasas y Vendas;BioSana;23.79;15.74
92;Azitromicina 500mg;Medicamentos;Antialérgicos;VitalCare;38.68;17.56
93;Desodorante Roll-On;Cuidado Personal;Desodorantes;Genérico;11.05;7.51
94;Crema Facial Hidratante;Dermocosmética;Cuidado Capilar;NovaSalud;86.1;51.58
95;Magnesio Quelado;Suplementos y Vitaminas;Vitamina C;CardioSalud;67.94;40.62
96;Pañales Talla M x30;Cuidado del Bebé;Fórmulas Infantiles;SaludTotal Labs;17.1;8.4
97;Nebulizador Portátil;Equipos Médicos;Termómetros;BienestarLab;262.57;120.51
98;Alcohol Medicinal 70° 250ml;Insumos Médicos;Mascarillas;CardioSalud;18.09;9.58
99;Enalapril 10mg;Medicamentos;Antibióticos;NovaSalud;26.52;15.6
100;Protectores Diarios;Cuidado Personal;Higiene Femenina;SaludTotal Labs;37.51;16.6
101;Loción Corporal Hidratante;Dermocosmética;Protección Solar;SaludTotal Labs;101.77;68.09
102;Multivitamínico Adultos;Suplementos y Vitaminas;Multivitamínicos;FarmaVida;80.25;48.47
103;Toallitas Húmedas x80;Cuidado del Bebé;Fórmulas Infantiles;MediFarma;12.12;5.0
104;Glucómetro Digital;Equipos Médicos;Nebulizadores;DermaPro;125.37;52.03
105;Alcohol Medicinal 70° 250ml;Insumos Médicos;Gasas y Vendas;NovaSalud;20.73;13.99
106;Amoxicilina 500mg;Medicamentos;Antialérgicos;DermaPro;34.56;21.99
107;Toallas Higiénicas Nocturnas;Cuidado Personal;Higiene Corporal;DermaPro;8.08;3.4
108;Loción Corporal Hidratante;Dermocosmética;Cuidado Facial;CardioSalud;65.78;28.53
109;Vitamina C 1000mg;Suplementos y Vitaminas;Omega 3;DermaPro;74.73;38.45
110;Shampoo para Bebé;Cuidado del Bebé;Pañales;SaludTotal Labs;40.81;25.84
111;Tensiómetro Digital de Brazo;Equipos Médicos;Termómetros;Genérico;253.06;170.97
112;Vendas Elásticas;Insumos Médicos;Mascarillas;NovaSalud;24.09;10.63
113;Enalapril 10mg;Medicamentos;Antiinflamatorios;SaludTotal Labs;59.2;28.06
114;Talco Corporal;Cuidado Personal;Higiene Bucal;NovaSalud;31.98;17.03
115;Mascarilla Facial Hidratante;Dermocosmética;Cuidado Capilar;CardioSalud;52.98;30.18
116;Vitamina C 1000mg;Suplementos y Vitaminas;Multivitamínicos;CardioSalud;72.98;34.29
117;Pañales Talla M x30;Cuidado del Bebé;Fórmulas Infantiles;SaludTotal Labs;65.45;34.36
118;Termómetro Digital;Equipos Médicos;Tensiómetros;MediFarma;47.35;25.64
119;Vendas Elásticas;Insumos Médicos;Mascarillas;CardioSalud;2.46;1.01
120;Cetirizina 10mg;Medicamentos;Antialérgicos;VitalCare;5.47;2.31
121;Enjuague Bucal Menta;Cuidado Personal;Desodorantes;FarmaVida;23.94;9.8
122;Contorno de Ojos;Dermocosmética;Cuidado Facial;MediFarma;95.01;53.55
123;Colágeno Hidrolizado;Suplementos y Vitaminas;Multivitamínicos;PharmaPlus;42.66;20.43
124;Fórmula Infantil Etapa 1;Cuidado del Bebé;Fórmulas Infantiles;CardioSalud;81.18;35.14
125;Glucómetro Digital;Equipos Médicos;Glucómetros;VitalCare;111.54;71.78
126;Esparadrapo Hipoalergénico;Insumos Médicos;Guantes;CardioSalud;10.72;6.65
127;Clorfenamina 4mg;Medicamentos;Antialérgicos;FarmaVida;59.21;29.05
128;Tampones Regular;Cuidado Personal;Higiene Corporal;MediFarma;18.8;9.76
129;Serum Vitamina C;Dermocosmética;Antiedad;PharmaPlus;124.23;59.91
130;Zinc 50mg;Suplementos y Vitaminas;Omega 3;BioSana;17.03;7.44
131;Fórmula Infantil Etapa 2;Cuidado del Bebé;Fórmulas Infantiles;VitalCare;10.03;5.89
132;Tensiómetro Digital de Brazo;Equipos Médicos;Termómetros;MediFarma;144.32;68.57
133;Vendas Elásticas;Insumos Médicos;Mascarillas;Genérico;34.0;15.25
134;Clorfenamina 4mg;Medicamentos;Antigripales;NovaSalud;10.63;7.4
135;Cepillo Dental Suave;Cuidado Personal;Higiene Femenina;MediFarma;23.24;11.04
136;Acondicionador Reparador;Dermocosmética;Cuidado Capilar;SaludTotal Labs;103.43;43.09
137;Omega 3 1000mg;Suplementos y Vitaminas;Vitamina C;MediFarma;30.49;19.47
138;Toallitas Húmedas x80;Cuidado del Bebé;Pañales;FarmaVida;25.61;12.77
139;Tensiómetro Digital de Brazo;Equipos Médicos;Glucómetros;BienestarLab;27.32;15.04
140;Vendas Elásticas;Insumos Médicos;Guantes;NovaSalud;21.77;9.67
141;Ácido Acetilsalicílico 100mg;Medicamentos;Antiinflamatorios;VitalCare;8.04;3.72
142;Toallas Higiénicas Nocturnas;Cuidado Personal;Higiene Corporal;VitalCare;26.33;12.87
143;Loción Corporal Hidratante;Dermocosmética;Cuidado Capilar;PharmaPlus;85.99;34.9
144;Vitamina C 1000mg;Suplementos y Vitaminas;Vitamina C;BioSana;43.34;24.65
145;Pañales Talla G x26;Cuidado del Bebé;Fórmulas Infantiles;FarmaVida;50.15;28.32
146;Glucómetro Digital;Equipos Médicos;Nebulizadores;SaludTotal Labs;192.79;94.6
147;Alcohol Medicinal 70° 250ml;Insumos Médicos;Mascarillas;CardioSalud;37.21;20.55
148;Omeprazol 20mg;Medicamentos;Gastrointestinales;BioSana;38.39;22.87
149;Desodorante en Barra;Cuidado Personal;Higiene Bucal;Genérico;12.65;8.57
150;Loción Corporal Hidratante;Dermocosmética;Protección Solar;SaludTotal Labs;82.25;47.7
151;Magnesio Quelado;Suplementos y Vitaminas;Proteínas y Aminoácidos;FarmaVida;25.46;15.18
152;Aceite Corporal para Bebé;Cuidado del Bebé;Fórmulas Infantiles;NovaSalud;47.67;19.45
153;Tensiómetro Digital de Brazo;Equipos Médicos;Termómetros;NovaSalud;33.49;21.75
154;Guantes de Látex x100;Insumos Médicos;Gasas y Vendas;PharmaPlus;5.37;3.56
155;Ácido Acetilsalicílico 100mg;Medicamentos;Analgésicos;CardioSalud;53.97;35.69
156;Desodorante en Barra;Cuidado Personal;Higiene Bucal;DermaPro;7.32;4.07
157;Limpiador Facial Espumoso;Dermocosmética;Cuidado Facial;Genérico;120.9;82.41
158;Complejo B;Suplementos y Vitaminas;Vitamina C;MediFarma;17.18;8.95
159;Crema Antipañalitis;Cuidado del Bebé;Accesorios Bebé;BienestarLab;45.31;23.31
160;Tiras Reactivas de Glucosa;Equipos Médicos;Nebulizadores;BienestarLab;257.77;175.62
161;Esparadrapo Hipoalergénico;Insumos Médicos;Alcohol y Antisépticos;NovaSalud;29.11;12.56
162;Azitromicina 500mg;Medicamentos;Antiinflamatorios;BioSana;28.5;15.4
163;Tampones Regular;Cuidado Personal;Higiene Femenina;SaludTotal Labs;17.58;12.2
164;Protector Solar SPF50;Dermocosmética;Protección Solar;SaludTotal Labs;25.26;13.63
165;Multivitamínico Adultos;Suplementos y Vitaminas;Multivitamínicos;FarmaVida;50.29;29.85
166;Fórmula Infantil Etapa 2;Cuidado del Bebé;Pañales;BioSana;14.69;7.92
167;Termómetro Digital;Equipos Médicos;Tensiómetros;NovaSalud;144.99;86.82
168;Guantes de Látex x100;Insumos Médicos;Gasas y Vendas;BioSana;11.29;6.22
169;Omeprazol 20mg;Medicamentos;Antiinflamatorios;DermaPro;16.52;11.06
170;Cepillo Dental Suave;Cuidado Personal;Higiene Bucal;SaludTotal Labs;21.56;9.59
171;Limpiador Facial Espumoso;Dermocosmética;Cuidado Facial;SaludTotal Labs;111.87;76.58
172;Magnesio Quelado;Suplementos y Vitaminas;Omega 3;VitalCare;93.5;62.31
173;Fórmula Infantil Etapa 1;Cuidado del Bebé;Toallitas Húmedas;Genérico;74.64;33.95
174;Tiras Reactivas de Glucosa;Equipos Médicos;Termómetros;BienestarLab;258.56;117.32
175;Algodón 500g;Insumos Médicos;Guantes;Genérico;23.72;14.61
176;Omeprazol 20mg;Medicamentos;Gastrointestinales;PharmaPlus;58.18;28.32
177;Jabón Líquido Avena;Cuidado Personal;Desodorantes;FarmaVida;12.73;8.47
178;Crema Antiarrugas;Dermocosmética;Cuidado Facial;VitalCare;73.2;30.77
179;Omega 3 1000mg;Suplementos y Vitaminas;Multivitamínicos;MediFarma;41.38;23.33
180;Crema Antipañalitis;Cuidado del Bebé;Pañales;CardioSalud;84.23;50.82
181;Glucómetro Digital;Equipos Médicos;Tensiómetros;MediFarma;65.81;46.01
182;Alcohol en Gel 500ml;Insumos Médicos;Mascarillas;BienestarLab;25.03;11.56
183;Enalapril 10mg;Medicamentos;Cardiovascular;VitalCare;50.35;20.67
184;Enjuague Bucal Menta;Cuidado Personal;Higiene Bucal;BienestarLab;39.67;25.33
185;Serum Vitamina C;Dermocosmética;Cuidado Capilar;MediFarma;100.23;52.89
186;Magnesio Quelado;Suplementos y Vitaminas;Proteínas y Aminoácidos;Genérico;77.6;49.63
187;Toallitas Húmedas x80;Cuidado del Bebé;Toallitas Húmedas;VitalCare;22.35;14.06
188;Tensiómetro Digital de Brazo;Equipos Médicos;Tensiómetros;FarmaVida;124.34;65.09
189;Esparadrapo Hipoalergénico;Insumos Médicos;Guantes;BienestarLab;18.69;10.97
190;Naproxeno 250mg;Medicamentos;Antibióticos;MediFarma;45.61;25.05
191;Jabón Líquido Avena;Cuidado Personal;Higiene Corporal;MediFarma;18.09;9.78
192;Limpiador Facial Espumoso;Dermocosmética;Protección Solar;BienestarLab;86.79;57.71
193;Omega 3 1000mg;Suplementos y Vitaminas;Vitamina C;SaludTotal Labs;72.1;35.46
194;Crema Antipañalitis;Cuidado del Bebé;Accesorios Bebé;MediFarma;49.08;21.19
195;Pulsioxímetro Digital;Equipos Médicos;Glucómetros;PharmaPlus;268.29;130.9
196;Algodón 500g;Insumos Médicos;Alcohol y Antisépticos;MediFarma;3.27;1.73
197;Omeprazol 20mg;Medicamentos;Antigripales;Genérico;46.01;30.79
198;Pasta Dental Triple Acción;Cuidado Personal;Higiene Corporal;BienestarLab;25.74;14.14
199;Acondicionador Reparador;Dermocosmética;Antiedad;FarmaVida;98.06;47.46
200;Omega 3 1000mg;Suplementos y Vitaminas;Omega 3;NovaSalud;58.07;28.17
201;Fórmula Infantil Etapa 2;Cuidado del Bebé;Fórmulas Infantiles;FarmaVida;21.98;9.4
202;Tiras Reactivas de Glucosa;Equipos Médicos;Tensiómetros;BienestarLab;159.79;98.05
203;Alcohol Medicinal 70° 250ml;Insumos Médicos;Alcohol y Antisépticos;CardioSalud;24.28;13.31
204;Paracetamol 500mg;Medicamentos;Analgésicos;BienestarLab;52.71;22.16
205;Pasta Dental Triple Acción;Cuidado Personal;Desodorantes;VitalCare;37.21;18.15
206;Protector Solar SPF50;Dermocosmética;Cuidado Facial;CardioSalud;22.93;15.52
207;Magnesio Quelado;Suplementos y Vitaminas;Vitamina C;DermaPro;88.67;50.08
208;Fórmula Infantil Etapa 2;Cuidado del Bebé;Toallitas Húmedas;VitalCare;20.75;13.37
209;Termómetro Digital;Equipos Médicos;Nebulizadores;MediFarma;307.07;167.15
210;Algodón 500g;Insumos Médicos;Gasas y Vendas;VitalCare;16.41;7.82
211;Clorfenamina 4mg;Medicamentos;Antigripales;NovaSalud;25.7;13.85
212;Cepillo Dental Suave;Cuidado Personal;Higiene Femenina;BioSana;20.77;11.54
213;Protector Solar SPF50;Dermocosmética;Cuidado Capilar;Genérico;18.78;8.0
214;Magnesio Quelado;Suplementos y Vitaminas;Vitamina C;DermaPro;52.36;30.07
215;Pañales Talla M x30;Cuidado del Bebé;Accesorios Bebé;MediFarma;68.1;42.0
216;Glucómetro Digital;Equipos Médicos;Tensiómetros;BioSana;238.97;154.52
217;Mascarillas Quirúrgicas x50;Insumos Médicos;Gasas y Vendas;MediFarma;23.18;10.24
218;Losartán 50mg;Medicamentos;Cardiovascular;MediFarma;20.08;12.19
219;Toallas Higiénicas Nocturnas;Cuidado Personal;Higiene Bucal;NovaSalud;11.56;4.98
220;Protector Solar SPF50;Dermocosmética;Antiedad;BienestarLab;82.56;50.51
221;Vitamina C 1000mg;Suplementos y Vitaminas;Omega 3;BioSana;55.43;30.8
222;Shampoo para Bebé;Cuidado del Bebé;Toallitas Húmedas;NovaSalud;19.95;12.88
223;Nebulizador Portátil;Equipos Médicos;Termómetros;CardioSalud;109.35;55.42
224;Mascarillas Quirúrgicas x50;Insumos Médicos;Gasas y Vendas;SaludTotal Labs;39.2;17.56
225;Losartán 50mg;Medicamentos;Cardiovascular;MediFarma;34.45;21.49
226;Desodorante en Barra;Cuidado Personal;Higiene Femenina;BienestarLab;7.75;3.57
227;Serum Vitamina C;Dermocosmética;Cuidado Capilar;MediFarma;79.02;38.23
228;Magnesio Quelado;Suplementos y Vitaminas;Omega 3;BienestarLab;78.58;32.31
229;Fórmula Infantil Etapa 2;Cuidado del Bebé;Accesorios Bebé;PharmaPlus;23.78;14.55
230;Tensiómetro Digital de Brazo;Equipos Médicos;Glucómetros;SaludTotal Labs;228.97;109.73
231;Alcohol en Gel 500ml;Insumos Médicos;Mascarillas;NovaSalud;24.16;13.86
232;Paracetamol 500mg;Medicamentos;Antigripales;VitalCare;22.48;13.99
233;Gel de Ducha Aloe Vera;Cuidado Personal;Higiene Bucal;SaludTotal Labs;5.23;2.36
234;Crema Antiarrugas;Dermocosmética;Protección Solar;DermaPro;65.15;39.85
235;Hierro Quelado;Suplementos y Vitaminas;Proteínas y Aminoácidos;PharmaPlus;76.28;50.78
236;Aceite Corporal para Bebé;Cuidado del Bebé;Toallitas Húmedas;Genérico;76.88;35.37
237;Tensiómetro Digital de Brazo;Equipos Médicos;Termómetros;NovaSalud;189.11;90.3
238;Gasas Estériles;Insumos Médicos;Guantes;DermaPro;11.8;7.77
239;Dextrometorfano Jarabe;Medicamentos;Antibióticos;FarmaVida;10.54;4.53
240;Toallas Higiénicas Nocturnas;Cuidado Personal;Higiene Bucal;VitalCare;4.66;1.98
241;Mascarilla Facial Hidratante;Dermocosmética;Protección Solar;FarmaVida;72.28;49.14
242;Zinc 50mg;Suplementos y Vitaminas;Multivitamínicos;PharmaPlus;80.53;51.38
243;Shampoo para Bebé;Cuidado del Bebé;Toallitas Húmedas;VitalCare;28.3;17.55
244;Tensiómetro Digital de Brazo;Equipos Médicos;Nebulizadores;DermaPro;183.11;96.68
245;Guantes de Látex x100;Insumos Médicos;Mascarillas;VitalCare;16.56;9.01
246;Azitromicina 500mg;Medicamentos;Antigripales;MediFarma;7.72;4.01
247;Enjuague Bucal Menta;Cuidado Personal;Higiene Bucal;Genérico;14.39;8.54
248;Loción Corporal Hidratante;Dermocosmética;Protección Solar;BienestarLab;80.14;44.65
249;Magnesio Quelado;Suplementos y Vitaminas;Omega 3;PharmaPlus;21.48;11.92
250;Fórmula Infantil Etapa 1;Cuidado del Bebé;Toallitas Húmedas;FarmaVida;20.48;9.17
251;Tiras Reactivas de Glucosa;Equipos Médicos;Termómetros;Genérico;216.96;130.12
252;Guantes de Látex x100;Insumos Médicos;Guantes;VitalCare;15.09;8.97
253;Azitromicina 500mg;Medicamentos;Analgésicos;BienestarLab;27.79;17.4
254;Jabón en Barra Glicerina;Cuidado Personal;Higiene Femenina;VitalCare;4.08;1.67
255;Crema Facial Hidratante;Dermocosmética;Cuidado Facial;NovaSalud;51.18;23.43
256;Multivitamínico Adultos;Suplementos y Vitaminas;Multivitamínicos;CardioSalud;68.7;37.35
257;Shampoo para Bebé;Cuidado del Bebé;Accesorios Bebé;BienestarLab;66.4;33.75
258;Pulsioxímetro Digital;Equipos Médicos;Termómetros;PharmaPlus;230.29;93.46
259;Mascarillas Quirúrgicas x50;Insumos Médicos;Guantes;Genérico;39.53;16.48
260;Diclofenaco Sódico 50mg;Medicamentos;Cardiovascular;SaludTotal Labs;59.96;31.97
261;Desodorante Roll-On;Cuidado Personal;Higiene Bucal;SaludTotal Labs;5.22;2.56
262;Serum Vitamina C;Dermocosmética;Protección Solar;BienestarLab;126.67;52.79
263;Complejo B;Suplementos y Vitaminas;Vitamina C;SaludTotal Labs;48.69;26.45
264;Pañales Talla M x30;Cuidado del Bebé;Fórmulas Infantiles;BienestarLab;25.71;17.07
265;Nebulizador Portátil;Equipos Médicos;Tensiómetros;VitalCare;194.99;110.69
266;Alcohol Medicinal 70° 250ml;Insumos Médicos;Alcohol y Antisépticos;SaludTotal Labs;13.98;7.52
267;Ranitidina 150mg;Medicamentos;Antialérgicos;BioSana;32.65;18.67
268;Jabón en Barra Glicerina;Cuidado Personal;Desodorantes;SaludTotal Labs;20.63;8.31
269;Loción Corporal Hidratante;Dermocosmética;Cuidado Capilar;BioSana;122.99;56.62
270;Complejo B;Suplementos y Vitaminas;Omega 3;MediFarma;44.16;24.55
271;Aceite Corporal para Bebé;Cuidado del Bebé;Pañales;BienestarLab;28.92;16.79
272;Termómetro Digital;Equipos Médicos;Tensiómetros;SaludTotal Labs;192.43;92.43
273;Alcohol en Gel 500ml;Insumos Médicos;Mascarillas;BienestarLab;12.92;7.9
274;Omeprazol 20mg;Medicamentos;Antiinflamatorios;DermaPro;18.8;8.03
275;Tampones Regular;Cuidado Personal;Higiene Femenina;MediFarma;18.1;11.99
276;Mascarilla Facial Hidratante;Dermocosmética;Cuidado Capilar;VitalCare;105.43;70.97
277;Proteína Whey Vainilla;Suplementos y Vitaminas;Vitamina C;BienestarLab;85.16;44.26
278;Fórmula Infantil Etapa 2;Cuidado del Bebé;Toallitas Húmedas;BioSana;20.86;8.4
279;Glucómetro Digital;Equipos Médicos;Nebulizadores;PharmaPlus;220.55;120.46
280;Alcohol en Gel 500ml;Insumos Médicos;Guantes;BioSana;16.6;11.44
281;Amoxicilina 500mg;Medicamentos;Antigripales;BienestarLab;22.96;15.67
282;Toallas Higiénicas Nocturnas;Cuidado Personal;Higiene Femenina;MediFarma;22.66;11.8
283;Mascarilla Facial Hidratante;Dermocosmética;Protección Solar;NovaSalud;102.2;50.2
284;Omega 3 1000mg;Suplementos y Vitaminas;Proteínas y Aminoácidos;NovaSalud;29.08;18.4
285;Pañales Talla M x30;Cuidado del Bebé;Fórmulas Infantiles;DermaPro;76.91;33.99
286;Termómetro Digital;Equipos Médicos;Nebulizadores;BienestarLab;107.65;71.17
287;Alcohol en Gel 500ml;Insumos Médicos;Mascarillas;DermaPro;34.38;23.7
288;Losartán 50mg;Medicamentos;Cardiovascular;DermaPro;34.4;23.18
289;Talco Corporal;Cuidado Personal;Desodorantes;PharmaPlus;13.35;6.45
290;Crema Facial Hidratante;Dermocosmética;Cuidado Facial;PharmaPlus;125.64;83.82
291;Calcio + Vitamina D;Suplementos y Vitaminas;Proteínas y Aminoácidos;MediFarma;15.23;6.63
292;Fórmula Infantil Etapa 2;Cuidado del Bebé;Toallitas Húmedas;NovaSalud;71.5;42.59
293;Nebulizador Portátil;Equipos Médicos;Tensiómetros;MediFarma;309.95;142.82
294;Alcohol Medicinal 70° 250ml;Insumos Médicos;Gasas y Vendas;MediFarma;7.98;5.2
295;Azitromicina 500mg;Medicamentos;Antialérgicos;DermaPro;56.02;37.44
296;Cepillo Dental Suave;Cuidado Personal;Higiene Femenina;SaludTotal Labs;35.74;14.71
297;Serum Vitamina C;Dermocosmética;Protección Solar;SaludTotal Labs;15.59;7.08
